Alive,Non-roadkilled,Roadkilled,Vehicles,Seawall modification,Year
19,86,7,6,N,2017
11,25,4,39,N,2017
14,2,2,2,N,2017
7,6,0,3,N,2017
12,6,3,2,N,2017
8,49,28,42,N,2017
13,10,13,26,N,2017
5,9,12,14,N,2017
16,11,11,7,N,2017
7,6,6,21,N,2017
31,35,36,32,N,2017
16,13,24,90,N,2017
28,13,14,10,N,2017
21,2,7,18,N,2017
9,5,7,6,N,2017
6,4,10,66,N,2017
40,26,43,20,N,2017
19,9,10,16,N,2017
24,5,8,14,N,2017
8,1,5,6,N,2017
8,2,9,92,N,2017
17,5,10,19,N,2017
10,4,2,10,N,2017
20,5,16,18,N,2017
36,6,26,11,N,2017
36,6,14,2,N,2017
28,4,6,3,N,2017
48,8,8,2,N,2017
21,3,6,3,N,2017
13,1,12,133,N,2017
8,3,0,16,Y,2023
10,4,1,22,Y,2023
12,2,2,14,Y,2023
12,1,1,7,Y,2023
13,2,0,10,Y,2023
56,11,3,6,Y,2023
57,12,3,11,Y,2023
28,7,5,16,Y,2023
42,6,1,0,Y,2023
55,4,10,7,Y,2023
73,2,13,12,Y,2023
34,3,6,2,Y,2023
44,1,3,4,Y,2023
39,3,4,6,Y,2023
77,5,13,5,Y,2023
40,9,10,6,Y,2023
84,10,22,8,Y,2023
24,4,13,5,Y,2023
26,3,1,1,Y,2023
18,4,1,0,Y,2023
81,0,2,2,Y,2023
69,9,20,2,Y,2023
10,7,4,7,Y,2023
19,1,15,9,Y,2023
9,7,3,7,Y,2023
6,2,3,0,Y,2023
4,3,3,2,Y,2023
8,1,5,0,N,2018
34,2,10,6,N,2018
15,21,8,10,N,2018
14,8,2,5,N,2018
13,5,26,15,N,2018
28,7,39,11,N,2018
27,2,15,9,N,2018
34,13,7,1,N,2018
40,9,12,4,N,2018
99,4,24,1,N,2018
52,2,19,3,N,2018
9,4,10,0,N,2018
17,0,6,3,N,2018
26,2,36,5,N,2018
22,1,7,5,N,2018
11,0,1,3,N,2018
